store_id,item_id,wm_yr_wk,sell_price
CA_1,FOODS_1_001,12152,3.86
CA_1,FOODS_1_001,12201,3.86
CA_1,FOODS_1_001,12202,3.86
CA_1,FOODS_1_001,12203,3.86
CA_1,FOODS_1_001,12204,3.86
CA_1,FOODS_1_001,12205,3.86
CA_1,FOODS_1_001,12206,3.28
CA_1,FOODS_1_001,12207,3.86
CA_1,FOODS_1_001,12208,3.86
CA_1,FOODS_1_001,12209,3.86
CA_1,FOODS_1_001,12210,3.28
CA_1,FOODS_1_001,12211,3.86
CA_1,FOODS_1_001,12212,3.86
CA_1,FOODS_1_001,12213,3.86
CA_1,FOODS_1_001,12214,3.86
CA_1,FOODS_1_001,12215,3.86
CA_1,FOODS_1_001,12216,3.86
CA_1,FOODS_1_001,12217,3.86
CA_1,FOODS_1_001,12218,3.86
CA_1,FOODS_1_001,12219,3.86
CA_1,FOODS_1_001,12220,3.86
CA_1,FOODS_1_001,12221,3.28
CA_1,FOODS_1_001,12222,3.86
CA_1,FOODS_1_001,12223,3.86
CA_1,FOODS_1_001,12224,3.86
CA_1,FOODS_1_001,12225,3.86
CA_1,FOODS_1_001,12226,3.86
CA_1,FOODS_1_001,12227,3.86
CA_1,FOODS_1_001,12228,3.86
CA_1,FOODS_1_001,12229,3.28
CA_1,FOODS_1_001,12230,3.86
CA_1,FOODS_1_001,12231,3.86
CA_1,FOODS_1_001,12232,3.28
CA_1,FOODS_1_001,12233,3.86
CA_1,FOODS_1_001,12234,3.86
CA_1,FOODS_1_001,12235,3.86
CA_1,FOODS_1_001,12236,3.86
CA_1,FOODS_1_001,12237,3.28
CA_1,FOODS_1_001,12238,3.86
CA_1,FOODS_1_001,12239,3.86
CA_1,FOODS_1_001,12240,3.28
CA_1,FOODS_1_001,12241,3.86
CA_1,FOODS_1_001,12242,3.28
CA_1,FOODS_1_001,12243,3.86
CA_1,FOODS_1_001,12244,3.86
CA_1,FOODS_1_001,12245,3.86
CA_1,FOODS_1_001,12246,3.86
CA_1,FOODS_1_001,12247,3.86
CA_1,FOODS_1_001,12248,3.86
CA_1,FOODS_1_001,12249,3.86
CA_1,FOODS_1_001,12250,3.86
CA_1,FOODS_1_001,12251,3.86
CA_1,FOODS_1_001,12252,3.86
CA_1,FOODS_1_001,12301,3.86
CA_1,FOODS_1_001,12302,3.86
CA_1,FOODS_1_001,12303,3.86
CA_1,FOODS_1_001,12304,3.28
CA_1,FOODS_1_001,12305,3.86
CA_1,FOODS_1_001,12306,3.28
CA_1,FOODS_1_001,12307,3.86
CA_1,FOODS_1_001,12308,3.86
CA_1,FOODS_1_001,12309,3.86
CA_1,FOODS_1_001,12310,3.86
CA_1,FOODS_1_001,12311,3.86
CA_1,FOODS_1_001,12312,3.86
CA_1,FOODS_1_001,12313,3.86
CA_1,FOODS_1_001,12314,3.28
CA_1,FOODS_1_001,12315,3.86
CA_1,FOODS_1_001,12316,3.28
CA_1,FOODS_1_001,12317,3.86
CA_1,FOODS_1_001,12318,3.86
CA_1,FOODS_1_001,12319,3.86
CA_1,FOODS_1_001,12320,3.28
CA_1,FOODS_1_001,12321,3.86
CA_1,FOODS_1_001,12322,3.86
CA_1,FOODS_1_001,12323,3.86
CA_1,FOODS_1_001,12324,3.86
CA_1,FOODS_1_001,12325,3.28
CA_1,FOODS_1_001,12326,3.86
CA_1,FOODS_1_001,12327,3.28
CA_1,FOODS_1_001,12328,3.86
CA_1,FOODS_1_001,12329,3.86
CA_1,FOODS_1_001,12330,3.86
CA_1,FOODS_1_001,12331,3.28
CA_1,FOODS_1_001,12332,3.86
CA_1,FOODS_1_001,12333,3.86
CA_1,FOODS_1_001,12334,3.86
CA_1,FOODS_1_001,12335,3.86
CA_1,FOODS_1_001,12336,3.86
CA_1,FOODS_1_001,12337,3.86
CA_1,FOODS_1_001,12338,3.28
CA_1,FOODS_1_001,12339,3.86
CA_1,FOODS_1_001,12340,3.86
CA_1,FOODS_1_001,12341,3.86
CA_1,FOODS_1_001,12342,3.86
CA_1,FOODS_1_001,12343,3.86
CA_1,FOODS_1_001,12344,3.86
CA_1,FOODS_1_001,12345,3.86
CA_1,FOODS_1_001,12346,3.28
CA_1,FOODS_1_001,12347,3.28
CA_1,FOODS_1_001,12348,3.28
CA_1,FOODS_1_001,12349,3.86
CA_1,FOODS_1_001,12350,3.86
CA_1,FOODS_1_001,12351,3.86
CA_1,FOODS_1_001,12352,3.86
CA_1,FOODS_1_002,12152,4.78
CA_1,FOODS_1_002,12201,4.78
CA_1,FOODS_1_002,12202,4.78
CA_1,FOODS_1_002,12203,4.78
CA_1,FOODS_1_002,12204,4.06
CA_1,FOODS_1_002,12205,4.78
CA_1,FOODS_1_002,12206,4.78
CA_1,FOODS_1_002,12207,4.78
CA_1,FOODS_1_002,12208,4.78
CA_1,FOODS_1_002,12209,4.78
CA_1,FOODS_1_002,12210,4.78
CA_1,FOODS_1_002,12211,4.78
CA_1,FOODS_1_002,12212,4.78
CA_1,FOODS_1_002,12213,4.78
CA_1,FOODS_1_002,12214,4.78
CA_1,FOODS_1_002,12215,4.78
CA_1,FOODS_1_002,12216,4.78
CA_1,FOODS_1_002,12217,4.78
CA_1,FOODS_1_002,12218,4.06
CA_1,FOODS_1_002,12219,4.78
CA_1,FOODS_1_002,12220,4.78
CA_1,FOODS_1_002,12221,4.78
CA_1,FOODS_1_002,12222,4.78
CA_1,FOODS_1_002,12223,4.06
